old_code,candidate_codes,name
06,разные,Долгосрочные финансовые вложения
26,разные,Затраты АУП
разные,"2823, 2824","Расходы по налогам, сборам и отчислениям"
80,разные,Неоперационные расходы
88 и 89,разные,Неоперационные расходы
60,"6318, 6328",Расчеты с поставщиками и подрядчиками
62,"6218,6228",Расчеты с покупателями и заказчиками
"70,71,73","6319,6219",Расчеты с персоналом
76,разные,Расчеты с разными дебиторами и кре-диторами
78,"6218,6318",Расчеты с подведомственными предприятиями
79,"6218,6318",Расчеты с вышестоящей организа
82,"6218,6228",Резервы по сомнительным долгам
90,"6314,6324",Краткосрочные кредиты банков
90,"6313,6314",Долгосрочные кредиты банков
94,разные,Краткосрочные займы
95,разные,Долгосрочные займы
97,"6318,6328",Арендные обязательства
